title,link,date
Crypto needs policy change more than Bitcoin reserve — Execs,https://cointelegraph.com/news/crypto-needs-policy-change-more-than-bitcoin-reserve-execs,2025-03-11
"Price analysis 3/10: SPX, DXY, BTC, ETH, XRP, BNB, SOL, DOGE, ADA, PI",https://cointelegraph.com/news/price-analysis-3-10-spx-dxy-btc-eth-xrp-bnb-sol-doge-ada-pi,2025-03-11
Bitcoin nears $78K lows as US stocks dive at the Wall Street open,https://cointelegraph.com/news/bitcoin-nears-78k-lows-us-stocks-dive-wall-street-open,2025-03-11
Bitcoin may benefit from US stablecoin dominance push,https://cointelegraph.com/news/stablecoin-push-dollar-dominance-positive-for-bitcoin,2025-03-10
"Ethereum price bottom? $1.8B in ETH leaves exchanges, biggest outflow since 2022",https://cointelegraph.com/news/ehtereum-bottom-eth-exchange-outflow-biggest-since-2022,2025-03-10
European lawmakers silent on US Bitcoin reserve amid digital euro push,https://cointelegraph.com/news/european-lawmakers-silent-trump-bitcoin-reserve-amid-cbdc-push,2025-03-10
Why is the crypto market down today?,https://cointelegraph.com/news/why-is-the-crypto-market-down-today,2025-03-10
Strategy’s Bitcoin stash still up over $7B despite market downturn,https://cointelegraph.com/news/strategy-bitcoin-stash-up-7-billion-500k-btc-holdings,2025-03-10
Bitcoin ‘Monte Carlo’ model forecasts $713K peak in 6 months,https://cointelegraph.com/news/bitcoin-monte-carlo-model-forecasts-713k-peak-6-months,2025-03-10
Is XRP price going to crash again?,https://cointelegraph.com/news/is-xrp-price-going-to-crash-again,2025-03-10
Biggest red weekly candle ever: 5 things to know in Bitcoin this week,https://cointelegraph.com/news/biggest-red-weekly-candle-ever-5-things-bitcoin-this-week,2025-03-10
Bitcoin slides another 3% — Is BTC price headed for $69K next?,https://cointelegraph.com/news/bitcoin-slides-3-btc-price-69k-next,2025-03-10
XRP price risks another 20% drop after ‘Digital Asset Stockpile’ letdown,https://cointelegraph.com/news/xrp-price-risks-20-drop-digital-asset-stockpile,2025-03-08
50% of female crypto investors seek long-term wealth creation — Survey,https://cointelegraph.com/news/50-female-crypto-investors-prefer-long-term-strategies-survey,2025-03-08
US Bitcoin reserve prompts $370 million in ETF outflows: Farside,https://cointelegraph.com/news/bitcoin-etf-flows-rise-us-reserve-aids-institutional-uptake,2025-03-08
4 reasons why Solana (SOL) price could rally back to $180,https://cointelegraph.com/news/4-reasons-why-solana-sol-price-could-rally-back-to-180,2025-03-08
"US Bitcoin reserve ups volatility, futures recoil",https://cointelegraph.com/news/us-bitcoin-reserve-ups-volatility-futures-recoil,2025-03-08
Bitcoin price all-time highs historically linked to US Dollar Index declines — Analyst,https://cointelegraph.com/news/bitcoin-price-all-time-highs-historically-linked-to-us-dollar-index-declines-analyst,2025-03-08
"Price analysis 3/7: BTC, ETH, XRP, BNB, SOL, ADA, DOGE, PI, HBAR, LINK",https://cointelegraph.com/news/price-analysis-3-7-btc-eth-xrp-bnb-sol-ada-doge-pi-hbar-link,2025-03-08
Bitcoin leaps toward $90K as US jobs data offers pre-crypto summit boost,https://cointelegraph.com/news/bitcoin-leaps-90k-us-jobs-data-crypto-summit-boost,2025-03-08
Why is Solana (SOL) price down today?,https://cointelegraph.com/news/why-is-solana-sol-price-down-today,2025-03-07
Bitcoin analysts predict limited upside after BTC reserve disappointment,https://cointelegraph.com/news/https-cms-cointelegraph-com-articles-18718-language-1,2025-03-07
Bitcoin forgets Strategic Reserve 'sell the news event' with 4% bounce,https://cointelegraph.com/news/bitcoin-forgets-strategic-reserve-sell-the-news-bounce,2025-03-07
Why is Bitcoin price down today?,https://cointelegraph.com/news/why-is-bitcoin-price-down-today,2025-03-07
Bitcoin has ‘more than 50% chance’ of new high by June: Cory Klippsten,https://cointelegraph.com/news/bitcoin-price-odds-hitting-new-highs-by-june-2025-swan-bitcoin-cory-klippsten,2025-03-07
Bitcoin plunges 6% as Trump’s crypto reserve falls short of hopes,https://cointelegraph.com/news/bitcoin-plunges-trump-strategic-bitcoin-reserve-eo,2025-03-07
US crypto reserve could boost Bitcoin market cap by $460B — Research,https://cointelegraph.com/news/us-crypto-reserve-could-boost-bitcoin-market-cap-by-460-b-research,2025-03-07
Bitcoin price rebound breaks down before key level is hit — Here is why,https://cointelegraph.com/news/bitcoin-price-rebound-breaks-down-before-key-level-is-hit-here-is-why,2025-03-07
Total crypto market cap could top $4 trillion in Q2 — Analyst,https://cointelegraph.com/news/total-crypto-market-cap-could-top-4-trillion-in-q2-analyst,2025-03-07
What Bitcoin reserve? BTC price slips back below $90K,https://cointelegraph.com/news/bitcoin-reserve-btc-price-slips-below-90k,2025-03-07
"Bitcoin, ETH, XRP, SOL, ADA charts versus US crypto reserve rumors — Which to trade?",https://cointelegraph.com/news/bitcoin-eth-xrp-sol-ada-charts-versus-us-crypto-reserve-rumors-which-to-trade,2025-03-07
Solana DEX volumes still rival Ethereum’s despite memecoin meltdown: VanEck,https://cointelegraph.com/news/solana-dex-volumes-still-rival-ethereum-s-despite-memecoin-meltdown-van-eck,2025-03-07
Litecoin traders say LTC price dips below $100 are ‘accumulation’ opportunities,https://cointelegraph.com/news/litecoin-traders-say-ltc-price-dips-below-100-are-accumulation-opportunities,2025-03-07
Bitwise makes first institutional DeFi allocation,https://cointelegraph.com/news/bitwise-makes-first-institutional-defi-allocation,2025-03-07
New York bill aims to protect crypto investors from memecoin rug pulls,https://cointelegraph.com/news/ny-bill-criminalize-crypto-fraud-rug-pulls-amid-memecoin-scandals,2025-03-06
Bitcoin struggles near $90K as US tariff fears spook ETF investors,https://cointelegraph.com/news/bitcoin-price-limited-etf-institutional-investment-tariff-concerns,2025-03-06
Ethereum most 'undervalued' in 17-months — Can ETH return to $4K?,https://cointelegraph.com/news/ethereum-most-undervalued-in-17-months-eth-return-4k,2025-03-06
Why is the crypto market up today?,https://cointelegraph.com/news/why-is-the-crypto-market-up-today,2025-03-06
Bitcoin gets March 25 'blast-off date' as US dollar hits 4-month low,https://cointelegraph.com/news/bitcoin-march-25-blast-off-date-us-dollar-4-month-low,2025-03-06
"Bitcoin reclaims $92K, but sentiment still stuck in ‘Extreme Fear’",https://cointelegraph.com/news/bitcoin-price-92k-crypto-market-sentiment-fear-analysts-unsure,2025-03-06
Falling US dollar is signaling a strong quarter for crypto: Raoul Pal,https://cointelegraph.com/news/us-dollar-falling-signals-positive-crypto-market-q2-2025-crypto-analyst,2025-03-06
Ethereum price ‘double top’ hints at 42% drop as ETH bull market ends,https://cointelegraph.com/news/ethereum-price-double-top-hints-at-42-drop-as-eth-bull-market-ends,2025-03-06
"Bitcoin volatility soars amid US crypto reserve, tariff jitters",https://cointelegraph.com/news/bitcoin-volatility-soars-crypto-reserve-tariff-jitters,2025-03-06
Ethereum (ETH) price pinned below $2.2K — Here’s why,https://cointelegraph.com/news/ethereum-eth-price-pinned-below-2-2-k-here-s-why,2025-03-06
XRP/ETH pair targets 160% rally according to bull market cycle history,https://cointelegraph.com/news/xrp-eth-pair-targets-160-rally-according-to-bull-market-cycle-history,2025-03-06
XRP traders eye rally to new all-time highs at $5.85 as key support holds,https://cointelegraph.com/news/xrp-traders-rally-new-all-time-highs-585-key-support,2025-03-06
"Price analysis 3/5: BTC, ETH, XRP, BNB, SOL, ADA, DOGE, PI, HBAR, LINK",https://cointelegraph.com/news/price-analysis-3-5-btc-eth-xrp-bnb-sol-ada-doge-pi-hbar-link,2025-03-06
Bitcoin trader eyes $78K BTC price retest as US seen delaying reserve,https://cointelegraph.com/news/bitcoin-trader-sees-btc-price-falling-to-78-k-again,2025-03-06
3 reasons why Bitcoin sells off on Trump tariff news,https://cointelegraph.com/news/why-bitcoin-sells-off-trump-tariffs,2025-03-05
Solana sees $485M outflows in February as crypto capital flees to ‘safety’,https://cointelegraph.com/news/solana-sees-485-m-outflows-feb-amid-flight-safety-in-crypto-markets,2025-03-05
Bitcoin price metric that called 2020 bull run says $69K new bottom,https://cointelegraph.com/news/bitcoin-price-metric-called-2020-bull-run-69k-new-bottom,2025-03-05
Why is Cardano (ADA) price up today?,https://cointelegraph.com/news/why-is-cardano-ada-price-up-today,2025-03-05
Bitcoin will ‘likely continue to consolidate’ in this pullback phase — Analyst,https://cointelegraph.com/news/bitcoin-price-consolidation-likely-pullback-phase-crypto-analysts,2025-03-05
Bitcoin will face ‘significant resistance’ reclaiming $94K: Analysts,https://cointelegraph.com/news/bitcoin-price-significant-resistance-94k-level-crypto-analysts,2025-03-05
Bitcoin price stabilizes near $83K as investors eye S&P 500 recovery,https://cointelegraph.com/news/bitcoin-price-stabilizes-near-83k-as-investors-eye-s-p-500-recovery,2025-03-05
Bitcoin sags toward $80K as US dollar strength bounces off 12-week low,https://cointelegraph.com/news/bitcoin-toward-80k-us-dollar-strength-12-week-low,2025-03-05
Is crypto’s ‘Trump effect’ short-lived?,https://cointelegraph.com/news/crypto-trump-effect-short-lived,2025-03-05
How low can the Bitcoin price go?,https://cointelegraph.com/news/how-low-can-the-bitcoin-price-go,2025-03-04
Bitcoin no longer ‘safe haven’ as $82K BTC price dive leaves gold on top,https://cointelegraph.com/news/bitcoin-no-longer-safe-haven-82k-btc-price-dive-gold-top,2025-03-04
XRP ‘distribution’ hits record level as the altcoin trades below $3,https://cointelegraph.com/news/xrp-distribution-hits-record-level-as-the-altcoin-trades-below-3,2025-03-04
"Bitcoin price action mirrors 2019 ‘Xi pump,’ are new BTC lows incoming?",https://cointelegraph.com/news/bitcoin-evades-weekly-close-below-90-k-can-it-avoid-a-repeat-of-xi-pump,2025-03-04
"Trump crypto strategic reserve coins ‘ADA, XRP, SOL’ dump, Bitcoin follows",https://cointelegraph.com/news/trump-crypto-strategic-reserve-coins-ada-xrp-sol-dump-bitcoin-follows,2025-03-04
Traders longing ADA futures spike after Trump’s crypto reserve reveal: Bitrue,https://cointelegraph.com/news/traders-longing-ada-futures-spike-after-trump-s-crypto-reserve-reveal-bitrue,2025-03-04
Bitcoin price dumps again — Will $90K turn into resistance or support?,https://cointelegraph.com/news/bitcoin-price-dumps-again-will-90k-turn-into-resistance-or-support,2025-03-04
Bitcoin returns under $90K as crypto market liquidates $150M in hours,https://cointelegraph.com/news/bitcoin-returns-under-90k-crypto-market-liquidates-150m,2025-03-04
Why is Ethereum (ETH) price up today?,https://cointelegraph.com/news/why-is-ethereum-eth-price-up-today,2025-03-03
Why is Solana (SOL) price up today?,https://cointelegraph.com/news/why-is-solana-price-up-this-week,2025-03-03
Biggest CME gap ever at $85K: 5 things to know in Bitcoin this week,https://cointelegraph.com/news/biggest-cme-gap-ever-85k-5-things-bitcoin-this-week,2025-03-03
"XRP, ADA, SOL go parabolic after Trump US crypto reserve post: Will other altcoins follow?",https://cointelegraph.com/news/xrp-ada-sol-go-parabolic-after-trump-us-crypto-reserve-post-will-altcoins-follow,2025-03-03
Bitcoin price jumps to $93K as XRP 'flips' Ethereum by fully diluted value,https://cointelegraph.com/news/bitcoin-price-suddenly-jumps-93k-xrp-flips-ethereum,2025-03-03
"What is Bitcoin price going to do next? — Bear trap, bottom, or oversold bounce?",https://cointelegraph.com/news/what-is-bitcoin-price-going-to-do-next-bear-trap-bottom-or-oversold-bounce,2025-03-01
"Bitcoin spot and margin longs push BTC to $85K, but the bottom isn’t in yet",https://cointelegraph.com/news/bitcoin-spot-and-margin-longs-push-btc-to-85-k-but-the-bottom-isn-t-in-yet,2025-03-01
XRP price to $18K? — One crypto ‘research’ group says it’s possible,https://cointelegraph.com/news/xrp-price-to-18-k-one-crypto-research-group-says-it-is-possible,2025-03-01
"Bitcoin’s ‘Trump trade’ is over — Traders shift hope to Fed rate cuts, expanding global liquidity",https://cointelegraph.com/news/bitcoin-trump-trade-is-over-will-fed-rate-cuts-and-m2-expansion-help,2025-03-01
Solana rallies 16% after SOL RSI drops to 2023 low: Was that the bottom?,https://cointelegraph.com/news/solana-rallies-16-after-sol-rsi-falls-to-2023-low,2025-03-01
SEC again delays Ether ETF options on Cboe,https://cointelegraph.com/news/sec-again-delays-options-on-spot-ether-etfs,2025-03-01
Bitcoin rebounds to $84K — Analysts say BTC crash was ultimate buy signal,https://cointelegraph.com/news/bitcoin-rebounds-to-84-k-analysts-say-btc-crash-was-ultimate-buy-signal,2025-03-01
BlackRock adds BTC ETF to model portfolio,https://cointelegraph.com/news/blackrock-adds-btc-etf-150-b-model-portfolio-product,2025-03-01
"Price analysis 2/28: BTC, ETH, XRP, BNB, SOL, DOGE, ADA, LTC, LINK, AVAX",https://cointelegraph.com/news/price-analysis-2-28-btc-eth-xrp-bnb-sol-doge-ada-ltc-link-avax,2025-03-01
Bitcoin price metric hits ‘optimal DCA’ zone not seen since BTC traded in $50K to $70K range,https://cointelegraph.com/news/bitcoin-price-hits-dca-zone-not-seen-since-btc-traded-50-k-70-k-range,2025-03-01
Bitcoin price bounces 5% as analyst sees crypto slump end in March,https://cointelegraph.com/news/bitcoin-price-bounces-analyst-crypto-slump-end-march,2025-03-01
